market,symbol,first_observed_date,last_observed_date,observed_days,constituent_days,constituent_source
hk,0001.HK,2024-09-02,2026-07-28,465,465,observed_price_history_proxy
hk,0002.HK,2024-09-02,2026-07-28,465,465,observed_price_history_proxy
hk,0003.HK,2024-09-02,2026-07-28,465,465,observed_price_history_proxy
hk,0004.HK,2024-09-02,2026-07-28,465,465,observed_price_history_proxy
hk,0005.HK,2024-09-02,2026-07-28,465,465,observed_price_history_proxy
hk,0006.HK,2024-09-02,2026-07-28,465,465,observed_price_history_proxy
hk,0008.HK,2024-09-02,2026-07-28,465,465,observed_price_history_proxy
hk,0010.HK,2024-09-02,2026-07-28,465,465,observed_price_history_proxy
hk,0012.HK,2024-09-02,2026-07-28,465,465,observed_price_history_proxy
hk,0013.HK,2024-09-02,2026-07-28,465,465,observed_price_history_proxy
hk,0014.HK,2024-09-02,2026-07-28,465,465,observed_price_history_proxy
hk,0016.HK,2024-09-02,2026-07-28,465,465,observed_price_history_proxy
hk,0017.HK,2024-09-02,2026-07-28,464,464,observed_price_history_proxy
hk,0018.HK,2024-09-02,2026-07-28,368,368,observed_price_history_proxy
hk,0019.HK,2024-09-02,2026-07-28,465,465,observed_price_history_proxy
hk,0020.HK,2024-09-02,2026-07-28,465,465,observed_price_history_proxy
hk,0021.HK,2024-09-02,2026-07-28,314,314,observed_price_history_proxy
hk,0022.HK,2024-09-04,2026-07-28,401,401,observed_price_history_proxy
hk,0023.HK,2024-09-02,2026-07-28,465,465,observed_price_history_proxy
hk,0025.HK,2024-09-03,2026-07-23,264,264,observed_price_history_proxy
hk,0026.HK,2024-09-02,2026-07-28,421,421,observed_price_history_proxy
hk,0027.HK,2024-09-02,2026-07-28,465,465,observed_price_history_proxy
hk,0028.HK,2024-09-02,2026-07-27,429,429,observed_price_history_proxy
hk,0029.HK,2024-09-02,2026-07-27,456,456,observed_price_history_proxy
hk,0030.HK,2024-09-02,2026-07-28,453,453,observed_price_history_proxy
hk,0031.HK,2024-09-02,2026-07-28,465,465,observed_price_history_proxy
hk,0032.HK,2024-09-02,2026-07-28,402,402,observed_price_history_proxy
hk,0033.HK,2024-09-02,2025-09-30,266,266,observed_price_history_proxy
hk,0034.HK,2024-09-02,2026-07-28,465,465,observed_price_history_proxy
hk,0035.HK,2024-09-02,2026-07-28,464,464,observed_price_history_proxy
hk,0036.HK,2024-09-02,2026-01-30,250,250,observed_price_history_proxy
hk,0037.HK,2024-09-02,2026-07-28,457,457,observed_price_history_proxy
hk,0038.HK,2024-09-02,2026-07-28,465,465,observed_price_history_proxy
hk,0039.HK,2024-09-02,2026-03-31,324,324,observed_price_history_proxy
hk,0040.HK,2024-09-02,2026-07-28,400,400,observed_price_history_proxy
hk,0041.HK,2024-09-02,2026-07-28,465,465,observed_price_history_proxy
hk,0042.HK,2024-09-02,2026-07-27,432,432,observed_price_history_proxy
hk,0045.HK,2024-09-02,2026-07-28,461,461,observed_price_history_proxy
hk,0046.HK,2024-09-03,2026-07-21,296,296,observed_price_history_proxy
hk,0048.HK,2024-10-18,2026-07-28,341,341,observed_price_history_proxy
hk,0050.HK,2024-09-02,2026-07-28,457,457,observed_price_history_proxy
hk,0051.HK,2024-09-03,2026-07-27,279,279,observed_price_history_proxy
hk,0052.HK,2024-09-02,2026-07-28,464,464,observed_price_history_proxy
hk,0053.HK,2024-09-02,2026-07-28,409,409,observed_price_history_proxy
hk,0055.HK,2024-09-03,2026-07-24,272,272,observed_price_history_proxy
hk,0057.HK,2024-09-02,2026-07-28,432,432,observed_price_history_proxy
hk,0058.HK,2024-09-02,2026-07-27,315,315,observed_price_history_proxy
hk,0059.HK,2024-09-02,2025-03-31,139,139,observed_price_history_proxy
hk,0060.HK,2024-09-02,2026-07-28,169,169,observed_price_history_proxy
hk,0061.HK,2024-09-02,2026-07-28,369,369,observed_price_history_proxy
hk,0062.HK,2024-09-02,2026-07-28,465,465,observed_price_history_proxy
hk,0063.HK,2024-09-03,2026-07-27,293,293,observed_price_history_proxy
hk,0064.HK,2024-09-02,2026-07-28,436,436,observed_price_history_proxy
hk,0065.HK,2024-09-02,2026-07-28,350,350,observed_price_history_proxy
hk,0066.HK,2024-09-02,2026-07-28,465,465,observed_price_history_proxy
hk,0068.HK,2026-04-17,2026-07-28,69,69,observed_price_history_proxy
hk,0069.HK,2024-09-02,2026-07-28,465,465,observed_price_history_proxy
hk,0070.HK,2024-09-02,2026-07-28,322,322,observed_price_history_proxy
hk,0071.HK,2024-09-02,2026-07-28,463,463,observed_price_history_proxy
hk,0072.HK,2024-09-02,2026-07-28,250,250,observed_price_history_proxy
hk,0073.HK,2024-09-02,2026-07-24,286,286,observed_price_history_proxy
hk,0075.HK,2024-09-02,2026-07-28,303,303,observed_price_history_proxy
hk,0076.HK,2024-09-02,2026-07-28,447,447,observed_price_history_proxy
