market,symbol,quality_components,value_components,growth_components,momentum_components,low_risk_components,factor_count,core_factor_count,eligible_for_composite,component_count
hk,0001.HK,1,3,0,2,1,4,3,True,7
hk,0002.HK,1,3,0,2,1,4,3,True,7
hk,0003.HK,1,3,0,2,1,4,3,True,7
hk,0004.HK,1,3,0,2,1,4,3,True,7
hk,0005.HK,0,3,0,2,1,3,3,True,6
hk,0006.HK,1,3,0,2,1,4,3,True,7
hk,0007.HK,1,0,0,2,1,3,2,False,4
hk,0008.HK,1,2,0,2,1,4,3,True,6
hk,0009.HK,1,0,0,2,1,3,2,False,4
hk,0010.HK,1,3,0,2,1,4,3,True,7
hk,0011.HK,1,0,0,2,1,3,2,False,4
hk,0012.HK,1,3,0,2,1,4,3,True,7
hk,0013.HK,1,3,0,2,1,4,3,True,7
hk,0014.HK,1,3,0,2,1,4,3,True,7
hk,0016.HK,1,0,0,2,1,3,2,False,4
hk,0017.HK,1,0,0,2,1,3,2,False,4
hk,0018.HK,1,3,0,2,1,4,3,True,7
hk,0019.HK,1,3,0,2,1,4,3,True,7
hk,0020.HK,1,3,0,2,1,4,3,True,7
hk,0021.HK,1,3,0,2,1,4,3,True,7
hk,0022.HK,1,3,0,2,1,4,3,True,7
hk,0023.HK,1,3,0,2,1,4,3,True,7
hk,0025.HK,1,3,0,2,1,4,3,True,7
hk,0026.HK,1,0,0,2,1,3,2,False,4
hk,0027.HK,1,3,0,2,1,4,3,True,7
hk,0028.HK,1,3,0,2,1,4,3,True,7
hk,0029.HK,1,0,0,2,1,3,2,False,4
hk,0030.HK,1,3,0,2,1,4,3,True,7
hk,0031.HK,1,3,0,2,1,4,3,True,7
hk,0032.HK,1,3,0,2,1,4,3,True,7
hk,0033.HK,1,0,0,2,1,3,2,False,4
hk,0034.HK,1,3,0,2,1,4,3,True,7
hk,0035.HK,1,3,0,2,1,4,3,True,7
hk,0036.HK,1,3,0,2,1,4,3,True,7
hk,0037.HK,1,3,0,2,1,4,3,True,7
hk,0038.HK,1,3,0,2,1,4,3,True,7
hk,0039.HK,1,0,0,2,1,3,2,False,4
hk,0040.HK,1,3,0,2,1,4,3,True,7
hk,0041.HK,1,3,0,2,1,4,3,True,7
hk,0042.HK,1,2,0,2,1,4,3,True,6
hk,0045.HK,1,3,0,2,1,4,3,True,7
hk,0046.HK,1,3,0,2,1,4,3,True,7
hk,0048.HK,1,3,0,2,1,4,3,True,7
hk,0050.HK,1,3,0,2,1,4,3,True,7
hk,0051.HK,1,3,0,2,1,4,3,True,7
hk,0052.HK,1,3,0,2,1,4,3,True,7
hk,0053.HK,1,0,0,2,1,3,2,False,4
hk,0055.HK,1,3,0,2,1,4,3,True,7
hk,0057.HK,1,3,0,2,1,4,3,True,7
hk,0058.HK,1,3,0,2,1,4,3,True,7
hk,0059.HK,1,0,0,2,1,3,2,False,4
hk,0060.HK,1,3,0,2,1,4,3,True,7
hk,0061.HK,1,2,0,2,1,4,3,True,6
hk,0062.HK,1,3,0,2,1,4,3,True,7
hk,0063.HK,1,3,0,2,1,4,3,True,7
hk,0064.HK,1,3,0,2,1,4,3,True,7
hk,0065.HK,1,3,0,2,1,4,3,True,7
hk,0066.HK,1,3,0,2,1,4,3,True,7
hk,0068.HK,0,0,0,0,0,0,0,False,0
hk,0069.HK,1,3,0,2,1,4,3,True,7
hk,0070.HK,1,0,0,2,1,3,2,False,4
hk,0071.HK,1,3,0,2,1,4,3,True,7
hk,0072.HK,1,3,0,2,1,4,3,True,7
hk,0073.HK,1,0,0,2,1,3,2,False,4
hk,0075.HK,1,3,0,2,1,4,3,True,7
hk,0076.HK,1,3,0,2,1,4,3,True,7
hk,0077.HK,1,3,0,2,1,4,3,True,7
hk,0078.HK,1,3,0,2,1,4,3,True,7
hk,0079.HK,1,3,0,2,1,4,3,True,7
hk,0080.HK,1,3,0,2,1,4,3,True,7
hk,0081.HK,1,3,0,2,1,4,3,True,7
hk,0082.HK,1,3,0,2,1,4,3,True,7
hk,0083.HK,1,0,0,2,1,3,2,False,4
hk,0084.HK,1,3,0,2,1,4,3,True,7
hk,0085.HK,1,3,0,2,1,4,3,True,7
hk,0086.HK,1,3,0,2,1,4,3,True,7
hk,0087.HK,1,3,0,2,1,4,3,True,7
hk,0088.HK,1,3,0,2,1,4,3,True,7
hk,0089.HK,1,3,0,2,1,4,3,True,7
