symbol,is_final,financial_year,financial_period_end_date,report_type,data_type,consol_basis,report_source,item_name,is_pershare_item,is_percent_item,item_unit,item_currency,item_num
0004.HK,1,2023,20231231,Original To Original,,Consolidated Only,,Net Asset Value (NAV) - Total (REIT/Real Estate),False,False,Units,HKD,142989.0
0004.HK,1,2023,20231231,Original To Original,,Consolidated Only,,Net Asset Value - Per Share - Basic - Total,True,False,No scaling,HKD,4.679e-05
0004.HK,1,2023,20231231,Recent To Recent,,Consolidated Only,,Net Asset Value (NAV) - Total (REIT/Real Estate),False,False,Units,HKD,142989.0
0004.HK,1,2023,20231231,Recent To Recent,,Consolidated Only,,Net Asset Value - Per Share - Basic - Total,True,False,No scaling,HKD,4.679e-05
0004.HK,1,2023,20231231,Original To Original,Original,Consolidated Only,HKG ARS,Net Asset Value (NAV) - Total (REIT/Real Estate),False,False,Units,HKD,142989.0
0004.HK,1,2023,20231231,Original To Original,Original,Consolidated Only,HKG ARS,Net Asset Value - Per Share - Basic - Total,True,False,No scaling,HKD,4.679e-05
0004.HK,1,2023,20231231,Recent To Recent,Original,Consolidated Only,HKG ARS,Net Asset Value (NAV) - Total (REIT/Real Estate),False,False,Units,HKD,142989.0
0004.HK,1,2023,20231231,Recent To Recent,Original,Consolidated Only,HKG ARS,Net Asset Value - Per Share - Basic - Total,True,False,No scaling,HKD,4.679e-05
0004.HK,1,2024,20241231,Original To Original,,Consolidated Only,,Net Asset Value (NAV) - Total (REIT/Real Estate),False,False,Units,HKD,136832.0
0004.HK,1,2024,20241231,Original To Original,,Consolidated Only,,Net Asset Value - Per Share - Basic - Total,True,False,No scaling,HKD,4.477e-05
0004.HK,1,2024,20241231,Recent To Recent,,Consolidated Only,,Net Asset Value (NAV) - Total (REIT/Real Estate),False,False,Units,HKD,136832.0
0004.HK,1,2024,20241231,Recent To Recent,,Consolidated Only,,Net Asset Value - Per Share - Basic - Total,True,False,No scaling,HKD,4.477e-05
0004.HK,1,2024,20241231,Original To Original,Original,Consolidated Only,HKG ARS,Net Asset Value (NAV) - Total (REIT/Real Estate),False,False,Units,HKD,136832.0
0004.HK,1,2024,20241231,Original To Original,Original,Consolidated Only,HKG ARS,Net Asset Value - Per Share - Basic - Total,True,False,No scaling,HKD,4.477e-05
0004.HK,1,2024,20241231,Recent To Recent,Original,Consolidated Only,HKG ARS,Net Asset Value (NAV) - Total (REIT/Real Estate),False,False,Units,HKD,136832.0
0004.HK,1,2024,20241231,Recent To Recent,Original,Consolidated Only,HKG ARS,Net Asset Value - Per Share - Basic - Total,True,False,No scaling,HKD,4.477e-05
0004.HK,1,2025,20251231,Original To Original,,Consolidated Only,,Net Asset Value (NAV) - Total (REIT/Real Estate),False,False,Units,HKD,146707.0
0004.HK,1,2025,20251231,Original To Original,,Consolidated Only,,Net Asset Value - Per Share - Basic - Total,True,False,No scaling,HKD,4.801e-05
0004.HK,1,2025,20251231,Recent To Recent,,Consolidated Only,,Net Asset Value (NAV) - Total (REIT/Real Estate),False,False,Units,HKD,146707.0
0004.HK,1,2025,20251231,Recent To Recent,,Consolidated Only,,Net Asset Value - Per Share - Basic - Total,True,False,No scaling,HKD,4.801e-05
0004.HK,1,2025,20251231,Original To Original,Original,Consolidated Only,HKG ARS,Net Asset Value (NAV) - Total (REIT/Real Estate),False,False,Units,HKD,146707.0
0004.HK,1,2025,20251231,Original To Original,Original,Consolidated Only,HKG ARS,Net Asset Value - Per Share - Basic - Total,True,False,No scaling,HKD,4.801e-05
0004.HK,1,2025,20251231,Recent To Recent,Original,Consolidated Only,HKG ARS,Net Asset Value (NAV) - Total (REIT/Real Estate),False,False,Units,HKD,146707.0
0004.HK,1,2025,20251231,Recent To Recent,Original,Consolidated Only,HKG ARS,Net Asset Value - Per Share - Basic - Total,True,False,No scaling,HKD,4.801e-05
0005.HK,1,2023,20231231,Original To Original,,Consolidated Only,,Net Interest Margin - Total - %,False,True,Percentage,,1.66
0005.HK,1,2023,20231231,Original To Original,,Consolidated Only,,Net Interest Spread - Total - %,False,True,Percentage,,1.2
0005.HK,1,2023,20231231,Original To Original,,Consolidated Only,,Efficiency Ratio - Total - %,False,True,Percentage,,4.85e-05
0005.HK,1,2023,20231231,Recent To Recent,,Consolidated Only,,Net Interest Margin - Total - %,False,True,Percentage,,1.66
0005.HK,1,2023,20231231,Recent To Recent,,Consolidated Only,,Net Interest Spread - Total - %,False,True,Percentage,,1.2
0005.HK,1,2023,20231231,Recent To Recent,,Consolidated Only,,Efficiency Ratio - Total - %,False,True,Percentage,,4.85e-05
0005.HK,1,2023,20231231,Original To Original,Original,Consolidated Only,GBR ARS,Net Interest Margin - Total - %,False,True,Percentage,,1.66
0005.HK,1,2023,20231231,Original To Original,Original,Consolidated Only,GBR ARS,Net Interest Spread - Total - %,False,True,Percentage,,1.2
0005.HK,1,2023,20231231,Original To Original,Original,Consolidated Only,GBR ARS,Efficiency Ratio - Total - %,False,True,Percentage,,4.85e-05
0005.HK,1,2023,20231231,Recent To Recent,Original,Consolidated Only,GBR ARS,Net Interest Margin - Total - %,False,True,Percentage,,1.66
0005.HK,1,2023,20231231,Recent To Recent,Original,Consolidated Only,GBR ARS,Net Interest Spread - Total - %,False,True,Percentage,,1.2
