symbol,date,bs_asset_accruals,fy_period
0001.HK,20260417,848480000000.0,FY2025H2
0001.HK,20250828,830199000000.0,FY2025H1
0001.HK,20250415,815281000000.0,FY2024H2
0001.HK,20240829,834863000000.0,FY2024H1
0001.HK,20240419,849434000000.0,FY2023H2
0001.HK,20230817,855406000000.0,FY2023H1
0002.HK,20260311,226727000000.0,FY2025H2
0002.HK,20250808,229527000000.0,FY2025H1
0002.HK,20250307,220908000000.0,FY2024H2
0002.HK,20240809,223404000000.0,FY2024H1
0002.HK,20240308,215799000000.0,FY2023H2
0002.HK,20230811,218861000000.0,FY2023H1
0003.HK,20260428,157007200000.0,FY2025H2
0003.HK,20250922,154070500000.0,FY2025H1
0003.HK,20250423,151997100000.0,FY2024H2
0003.HK,20240902,151718000000.0,FY2024H1
0003.HK,20230830,151295800000.0,FY2023H1
0004.HK,20260414,178641000000.0,FY2025H2
0004.HK,20250916,185525000000.0,FY2025H1
0004.HK,20250410,180321000000.0,FY2024H2
0004.HK,20240911,179382000000.0,FY2024H1
0004.HK,20240410,193284000000.0,FY2023H2
0004.HK,20230913,206651000000.0,FY2023H1
0005.HK,20260225,,FY2025H2
0005.HK,20251028,,FY2025Q3
0005.HK,20250730,,FY2025H1
0005.HK,20250429,,FY2025Q1
0005.HK,20250219,,FY2024H2
0005.HK,20241029,,FY2024Q3
0005.HK,20240731,,FY2024H1
0005.HK,20240430,,FY2024Q1
0005.HK,20240221,,FY2023H2
0005.HK,20231030,,FY2023Q3
0005.HK,20230801,,FY2023H1
0005.HK,20230502,,FY2023Q1
0006.HK,20260421,96184000000.0,FY2025H2
0006.HK,20250901,95537000000.0,FY2025H1
0006.HK,20250422,91344000000.0,FY2024H2
0006.HK,20240902,91669000000.0,FY2024H1
0006.HK,20240419,93246000000.0,FY2023H2
0006.HK,20230821,93868000000.0,FY2023H1
0007.HK,20260424,3399389000.0,FY2025H1
0007.HK,20260424,2074657000.0000002,FY2025H2
0007.HK,20250630,3210401000.0,FY2024H1
