symbol,date,bs_asset_accruals,fy_period
A.NB,20251222,6465000000.0,FY2025Q4
A.NB,20250829,6216000000.0,FY2025Q3
A.NB,20250602,6198000000.0,FY2025Q2
A.NB,20250303,6018000000.0,FY2025Q1
A.NB,20241220,6040000000.0,FY2024Q4
A.NB,20240830,5252000000.0,FY2024Q3
A.NB,20240603,5222000000.0,FY2024Q2
A.NB,20240305,5233000000.0,FY2024Q1
A.NB,20231220,5213000000.0,FY2023Q4
A.NB,20230831,5362000000.0,FY2023Q3
A.NB,20230526,5637000000.0,FY2023Q2
A.NB,20230303,5686000000.0,FY2023Q1
AA.NB,20260226,14281000000.0,FY2025Q4
AA.NB,20251028,14082000000.0,FY2025Q3
AA.NB,20250731,13124000000.0,FY2025Q2
AA.NB,20250502,13018000000.0,FY2025Q1
AA.NB,20250220,12571000000.0,FY2024Q4
AA.NB,20241031,12803000000.0,FY2024Q3
AA.NB,20240802,12480000000.0,FY2024Q2
AA.NB,20240502,12500000000.0,FY2024Q1
AA.NB,20240221,12729000000.0,FY2023Q4
AA.NB,20231026,12509000000.0,FY2023Q3
AA.NB,20230727,12651000000.0,FY2023Q2
AA.NB,20230504,13231000000.0,FY2023Q1
AACB.NB,20260319,228251058.0,FY2025Q4
AACB.NB,20251107,226090580.0,FY2025Q3
AACB.NB,20250807,223708371.0,FY2025Q2
AACB.NB,20250507,221437875.0,FY2025Q1
AACG.NB,20260331,160680934.0,FY2025Q4
AACG.NB,20251117,169435458.0,FY2025Q3
AACG.NB,20250806,213278146.0,FY2025Q2
AACG.NB,20250516,221643040.0,FY2025Q1
AACG.NB,20250410,224113778.0,FY2024Q4
AACG.NB,20241107,223768543.0,FY2024Q3
AACG.NB,20240807,228260703.0,FY2024Q2
AACG.NB,20240514,214662883.0,FY2024Q1
AACG.NB,20240410,192482419.0,FY2023Q4
AACG.NB,20231112,204460720.0,FY2023Q3
AACG.NB,20230810,213199796.0,FY2023Q2
AACG.NB,20230511,213303191.0,FY2023Q1
AACI.NB,20260320,327664.0,FY2025Q4
AAIC.NB,20231114,-8900000.0,FY2023Q3
AAIC.NB,20230814,-13249000.0,FY2023Q2
AAL.NB,20260219,56729000000.0,FY2025Q4
AAL.NB,20251023,57215000000.0,FY2025Q3
AAL.NB,20250724,58743000000.0,FY2025Q2
AAL.NB,20250424,57683000000.0,FY2025Q1
AAL.NB,20250219,56888000000.0,FY2024Q4
AAL.NB,20241024,58603000000.0,FY2024Q3
AAL.NB,20240725,59429000000.0,FY2024Q2
AAL.NB,20240425,59689000000.0,FY2024Q1
AAL.NB,20240221,58389000000.0,FY2023Q4
AAL.NB,20231019,61043000000.0,FY2023Q3
AAL.NB,20230720,62555000000.0,FY2023Q2
AAL.NB,20230427,62243000000.0,FY2023Q1
AAMC.NB,20240814,-8103999.999999999,FY2024Q2
AAMC.NB,20240515,-6653000.0,FY2024Q1
AAME.NB,20251114,-34444000.0,FY2025Q3
AAME.NB,20250812,-46423000.0,FY2025Q2
AAME.NB,20250513,-35903000.0,FY2025Q1
AAME.NB,20250325,-35570000.0,FY2024Q4
