symbol,date,curr_earn_yld_basic_excl_ratio_ttm,curr_earn_yld_basic_incl_ratio_ttm,curr_pb,curr_pb_issue,curr_rev_to_ev_ratio,curr_rev_to_ev_ratio_ttm
0005.HK,20251231,,,,,,
0005.HK,20260428,,,,1.74104571885043,,
0005.HK,20260429,6.75245276033058,6.75245276033058,1.7350899130287,,15.4430679528634,15.4430679528634
0005.HK,20260430,6.6000589710897,6.6000589710897,1.77515272575179,,15.3348959129513,15.3348959129513
0005.HK,20260501,6.56310499337943,6.56310499337943,1.78514783543324,,,
0005.HK,20260502,,,,,,
0005.HK,20260504,,,,,15.1770095368013,15.1770095368013
0005.HK,20260505,6.98834252852008,6.98834252852008,1.67652238350336,,15.8495227094455,15.8495227094455
0005.HK,20260506,6.63198813756141,6.63198813756141,1.76660639760439,,15.3271954461081,15.3271954461081
0005.HK,20260507,6.75922009077156,6.75922009077156,1.73335274119104,,15.4563515088921,15.4563515088921
0005.HK,20260508,6.73030187604182,6.73030187604182,1.74080047053444,,15.4421313723173,15.4421313723173
0005.HK,20260509,,,,,,
0005.HK,20260511,6.68896519542994,6.68896519542994,1.75155832484479,,15.3575528241665,15.3575528241665
0005.HK,20260512,6.78417880782648,6.78417880782648,1.72697580717305,,15.4712471191695,15.4712471191695
0005.HK,20260513,6.68778338461538,6.68778338461538,1.75186784601969,,15.3641011728422,15.3641011728422
0005.HK,20260514,6.69410341925926,6.69410341925926,1.75021387314462,,15.2888079550886,15.2888079550886
0005.HK,20260515,6.86552497885196,6.86552497885196,1.70651373474597,,15.6535436873556,15.6535436873556
0005.HK,20260518,6.73914105263158,6.73914105263158,1.73851720585034,,15.5447406323757,15.5447406323757
0005.HK,20260519,,,,1.71201861450148,,
0005.HK,20260520,,,,1.78013555270703,,
0005.HK,20260521,6.63986672164948,6.63986672164948,1.76451021741922,,15.2976894543832,15.2976894543832
0005.HK,20260522,,,,1.78071609479401,,
0005.HK,20260523,,,,,,
0005.HK,20260525,,,,,15.1761397163408,15.1761397163408
0005.HK,20260526,6.49795250793651,6.49795250793651,1.80304683026577,,15.0292407644421,15.0292407644421
0005.HK,20260527,6.42326992592592,6.42326992592592,1.82401063753576,,14.9380772368573,14.9380772368573
0005.HK,20260528,6.52244326140478,6.52244326140478,1.79627667165464,,15.124415571596,15.124415571596
0005.HK,20260529,6.45582548794489,6.45582548794489,1.81481248130548,,15.0046871624516,15.0046871624516
0005.HK,20260601,6.51104171271518,6.51104171271518,1.79942214926568,,15.0874074779595,15.0874074779595
0005.HK,20260602,6.37880727479075,6.37880727479075,1.83672466778466,,14.8906442151269,14.8906442151269
0005.HK,20260603,6.48394924137931,6.48394924137931,1.80694083751958,,15.0120310082462,15.0120310082462
0005.HK,20260604,6.60058040087783,6.60058040087783,1.77501249300656,,15.2398971011114,15.2398971011114
0005.HK,20260605,,,,1.75710738325686,,
0005.HK,20260606,,,,,,
0005.HK,20260608,6.62080784130688,6.62080784130688,1.76958959593362,,15.2681341574789,15.2681341574789
0005.HK,20260609,6.90305015098368,6.90305015098368,1.69723707874017,,15.7421620143942,15.7421620143942
0005.HK,20260610,,,,1.66731687380408,,
0005.HK,20260611,6.83032325616583,6.83032325616583,1.7153086659663,,15.6354191328127,15.6354191328127
0005.HK,20260612,6.57948512820513,6.57948512820513,1.78070357244634,,15.2031654970341,15.2031654970341
0005.HK,20260613,,,,,,
0005.HK,20260615,,,,1.79813235740338,,
0005.HK,20260616,6.39818133938706,6.39818133938706,1.83116295884399,,14.9222435444182,14.9222435444182
0005.HK,20260617,,,,1.84283409810078,,
0005.HK,20260618,,,,1.83780273334696,,
0005.HK,20260619,6.39222164850517,6.39222164850517,1.83287021584933,,14.9016935832661,14.9016935832661
0005.HK,20260622,,,,1.86760389381189,,
0005.HK,20260623,6.34334286899986,6.34334286899986,1.84699344093624,,14.7877845938,14.7877845938
0005.HK,20260624,6.43467426332727,6.43467426332727,1.82077789693649,,14.9404685798731,14.9404685798731
0005.HK,20260625,6.35087878234399,6.35087878234399,1.84480180998325,,14.8548910716778,14.8548910716778
0005.HK,20260626,6.4478125797835,6.4478125797835,1.81706780829628,,14.9917460088916,14.9917460088916
0005.HK,20260629,,,,1.83993138766588,,
0005.HK,20260630,6.38233961420185,6.38233961420185,1.83570812286171,,14.88879992188,14.88879992188
0005.HK,20260701,6.33450637045265,6.33450637045265,1.84956995659556,,14.8163429170765,14.8163429170765
0005.HK,20260702,,,,1.8728287725947,,
0005.HK,20260703,6.25059427153687,6.25059427153687,1.8743998032321,,14.6701083420128,14.6701083420128
0005.HK,20260706,6.17031598253275,6.17031598253275,1.89878649745313,,14.5672962351761,14.5672962351761
0005.HK,20260707,6.23977278106509,6.23977278106509,1.8776505305138,,14.6231531314554,14.6231531314554
0005.HK,20260708,6.3613776652602,6.3613776652602,1.84175713016297,,14.8778585629166,14.8778585629166
0005.HK,20260709,6.20230960725076,6.20230960725076,1.8889919102,,14.605006036056,14.605006036056
0005.HK,20260710,6.14075031407206,6.14075031407206,1.90792852231818,,14.48832554084,14.48832554084
0005.HK,20260713,6.20588423529412,6.20588423529412,1.88790383907268,,14.5511010584159,14.5511010584159
