symbol,imed_pretax_roa_ratio_ttm,imed_net_trade_cycle_days_ttm,date
AAPL,,74.3673494370274,20240920
AAPL,-2.62674506373204,,20260429
AAPL,-2.81213116436599,,20260430
AAPL,,,20260501
AAPL,-2.37104290496378,,20260507
AAPL,-2.30072684682946,,20260508
AAPL,-2.11628304277393,,20260511
AAPL,,,20260512
AAPL,-1.55884627795206,,20260513
AAPL,-1.06366709812284,,20260515
AAPL,-1.79120712244977,,20260518
AAPL,,,20260519
AAPL,-1.79120712244977,,20260520
AAPL,-1.79120712244977,,20260521
AAPL,-1.79120712244977,,20260522
AAPL,,,20260523
AAPL,-1.79120712244977,,20260525
AAPL,-2.17194668974967,,20260526
AAPL,-2.17194668974967,,20260527
AAPL,-2.17194668974967,,20260528
AAPL,-2.17194668974967,,20260529
AAPL,,,20260530
AAPL,-1.79120712244977,,20260602
AAPL,-1.79120712244977,,20260603
AAPL,-1.79120712244977,,20260604
AAPL,,,20260605
AAPL,-1.79120712244977,,20260607
AAPL,-1.79120712244977,,20260608
AAPL,-1.56921539230385,,20260609
AAPL,,,20260610
AAPL,-1.56921539230385,,20260611
AAPL,-1.56921539230385,,20260612
AAPL,,,20260613
AAPL,-1.56921539230385,,20260615
AAPL,-1.56921539230385,,20260616
AAPL,-1.56921539230385,,20260617
AAPL,-1.56921539230385,,20260618
AAPL,-1.56921539230385,,20260619
AAPL,-1.56921539230385,,20260622
AAPL,-1.56921539230385,,20260623
AAPL,-1.56921539230385,,20260624
AAPL,-1.56921539230385,,20260625
AAPL,-1.56921539230385,,20260626
AAPL,,,20260627
AAPL,-1.26224226779711,,20260629
AAPL,,,20260630
AAPL,-1.26224226779711,,20260701
AAPL,-1.26224226779711,,20260702
AAPL,-1.26224226779711,,20260703
AAPL,,,20260704
AAPL,-0.955269143290372,,20260706
AAPL,-0.955269143290372,,20260707
AAPL,-0.955269143290372,,20260708
AAPL,,,20260709
AAPL,-0.955269143290372,,20260710
AAPL,-0.955269143290372,,20260711
AAPL,-0.955269143290372,,20260713
AAPL,-0.955269143290372,,20260714
AAPL,-0.955269143290372,,20260715
AAPL,-0.955269143290372,,20260716
AAPL,-0.955269143290372,,20260717
AAPL,,,20260718
AAPL,-0.955269143290372,,20260720
AAPL,-0.955269143290372,,20260721
AAPL,,,20260722
AAPL,-1.26224226779711,,20260723
AAPL,-1.26224226779711,,20260724
AAPL,,,20260725
MSFT,,21.2744383271713,20240920
MSFT,-5.77643557600439,,20260429
MSFT,-5.77431772450872,,20260430
MSFT,,,20260501
MSFT,-5.62431400633114,,20260507
MSFT,-5.9966292806691,,20260508
MSFT,-5.91838938059668,,20260511
MSFT,,,20260512
MSFT,-5.22879046960174,,20260513
MSFT,-4.59361967475783,,20260515
MSFT,-5.0209098222507,,20260518
MSFT,,,20260519
MSFT,-5.22879046960174,,20260520
MSFT,-5.22879046960174,,20260521
MSFT,-5.34854838112847,,20260522
MSFT,,,20260523
MSFT,-5.64808570662913,,20260525
MSFT,-5.82516267382625,,20260526
MSFT,-5.82516267382625,,20260527
MSFT,-5.46500556530138,,20260528
MSFT,-5.34854838112847,,20260529
MSFT,,,20260530
MSFT,-4.30147529977986,,20260602
MSFT,-4.33384978554516,,20260603
MSFT,-4.32279172833393,,20260604
MSFT,,,20260605
MSFT,-4.9958366683335,,20260607
MSFT,-4.9958366683335,,20260608
MSFT,-5.52901139535012,,20260609
MSFT,,,20260610
MSFT,-5.68072298275801,,20260611
MSFT,-5.34854838112847,,20260612
MSFT,,,20260613
MSFT,-5.37729980794222,,20260615
MSFT,-5.31979695431472,,20260616
MSFT,-5.52901139535012,,20260617
MSFT,-5.52901139535012,,20260618
MSFT,-5.34854838112847,,20260619
MSFT,,,20260620
MSFT,-5.52901139535012,,20260622
MSFT,-5.68072298275801,,20260623
MSFT,-5.82516267382625,,20260624
MSFT,-5.96960236489449,,20260625
MSFT,-5.82516267382625,,20260626
MSFT,,,20260627
MSFT,-5.68072298275801,,20260629
MSFT,,,20260630
MSFT,-5.82516267382625,,20260701
MSFT,-5.08543715343508,,20260702
MSFT,-5.0209098222507,,20260703
MSFT,,,20260704
MSFT,-5.08543715343508,,20260706
MSFT,-5.31979695431472,,20260707
MSFT,-5.08543715343508,,20260708
MSFT,,,20260709
MSFT,-5.08543715343508,,20260710
MSFT,-5.08543715343508,,20260711
MSFT,-5.2026170538749,,20260713
MSFT,-5.2026170538749,,20260714
MSFT,-5.31979695431472,,20260715
MSFT,-5.31979695431472,,20260716
MSFT,-5.34854838112847,,20260717
MSFT,,,20260718
MSFT,-5.34854838112847,,20260720
MSFT,-5.37729980794222,,20260721
MSFT,,,20260722
MSFT,-5.34854838112847,,20260723
MSFT,-5.34854838112847,,20260724
MSFT,,,20260725
